article_id,article_version,icd10_noncovered_group,"paragraph",last_updated
53775,34,1,"",2025-01-07 15:40:50.567000000
53778,14,1,"",2019-09-25 21:21:37.720000000
53781,17,1,"",2024-01-11 16:38:49.767000000
53784,15,1,"<p>Z00.6</p>",2020-08-12 19:50:20.300000000
53793,33,1,"<p>All other diagnosis codes will be denied as non-covered.</p>",2025-03-11 16:51:47.983000000
53883,26,1,"<p>All those not listed under the ""ICD-10-CM Codes that Support Medical Necessity"" section of this article.</p>",2024-03-01 14:33:37.490000000
53893,11,1,"",2025-09-11 23:12:00.220000000
53916,12,1,"",2023-11-08 18:55:41.143000000
53931,6,1,"",2024-11-07 19:04:06.820000000
53972,10,1,"",2023-11-08 19:00:24.153000000
53986,18,1,"",2024-12-04 18:18:01.270000000
53988,20,1,"",2024-12-04 17:54:48.143000000
54018,33,1,"",2023-07-21 17:08:27.563000000
54021,26,1,"",2024-05-24 15:25:57.870000000
54061,20,1,"",2023-11-08 19:16:42.750000000
54095,68,1,"<p><br />All those not listed under the ""ICD-10-CM Codes that Support Medical Necessity"" section of this article.</p>",2025-09-26 17:04:56.270000000
54111,50,1,"<p>All those not listed under the &ldquo;ICD-10-CM Codes that Support Medical Necessity&rdquo; section of this article.</p>",2025-09-26 17:14:53.833000000
54117,118,1,"<p>All those, within the scope of the LCD, not listed under the &ldquo;ICD-10-CM Codes that Support Medical Necessity&rdquo; section of this article.</p>",2024-11-08 19:49:41.383000000
54188,33,1,"",2024-08-28 20:13:46.583000000
54191,27,1,"",2023-11-08 18:44:30.033000000
54192,22,1,"",2024-05-29 21:01:58.990000000
54194,23,1,"",2023-11-14 18:27:57.610000000
54195,22,1,"",2023-11-15 12:11:05.683000000
54196,20,1,"",2023-11-15 12:12:26.507000000
54257,14,1,"",2023-11-08 16:53:27.493000000
54269,14,1,"",2023-11-14 18:04:43.300000000
54270,16,1,"",2023-11-14 18:06:31.850000000
54283,15,1,"",2023-11-15 12:26:18.483000000
54295,27,1,"",2023-11-10 16:31:05.123000000
54300,16,1,"",2023-11-07 15:46:52.137000000
54327,7,1,"",2023-11-07 15:11:38.760000000
54338,55,1,"",2025-08-29 17:41:30.183000000
54386,37,1,"<p>N/A</p>",2024-08-29 12:08:32.903000000
54388,33,1,"<p>N/A</p>",2024-08-29 12:09:34.900000000
54418,27,1,"<p>N/A</p>",2023-11-22 15:31:11.223000000
54420,26,1,"<p>N/A</p>",2023-11-22 15:31:33.293000000
54422,20,1,"<p>N/A</p>",2024-05-24 11:58:39.247000000
54424,19,1,"<p>N/A</p>",2024-05-24 11:59:25.340000000
54445,26,1,"<p>N/A</p>",2023-11-22 16:55:45.023000000
54447,25,1,"<p>N/A</p>",2025-09-18 20:33:55.820000000
54472,30,1,"",2023-02-20 19:12:21.977000000
54480,15,1,"",2025-09-22 13:50:29.253000000
54482,15,1,"",2025-09-22 13:52:42.587000000
54484,12,1,"",2025-09-18 20:04:08.457000000
54486,12,1,"",2025-09-18 20:06:42.470000000
54498,23,1,"<p>N/A</p>",2023-11-22 15:32:47.730000000
54500,23,1,"<p>N/A</p>",2025-09-19 14:11:02.670000000
54516,45,1,"",2025-03-26 18:42:27.150000000
54543,20,1,"",2025-09-22 11:56:22.917000000
54545,19,1,"",2025-09-22 11:56:55.437000000
54548,35,1,"",2025-09-17 14:15:48.317000000
54555,18,1,"",2024-01-12 16:25:49.543000000
54559,12,1,"",2021-08-30 15:52:16.347000000
54563,54,1,"",2024-11-25 13:05:37.650000000
54602,21,1,"<p>Claims for removal of benign skin lesions performed merely for cosmetic reasons should be submitted with ICD-10-CM code Z41.1</p>",2024-12-19 16:06:15.510000000
54610,3,1,"",2023-11-07 12:31:09.630000000
54611,5,1,"",2023-11-07 12:27:57.403000000
54612,4,1,"",2023-11-15 17:57:45.813000000
54613,3,1,"",2023-11-07 12:27:00.817000000
54635,31,1,"",2023-11-08 19:11:27.410000000
54641,13,1,"",2023-11-17 12:43:00.363000000
54643,13,1,"",2023-11-17 12:44:31.620000000
54660,13,1,"",2023-11-17 12:42:28.020000000
54662,13,1,"",2023-11-17 12:44:01.823000000
54682,34,1,"",2024-01-25 15:14:26.240000000
54685,17,1,"",2023-11-08 15:22:47.920000000
54686,22,1,"",2024-09-14 23:02:26.877000000
54688,23,1,"",2023-11-08 18:48:22.270000000
54689,32,1,"",2023-11-07 18:21:11.067000000
54750,13,1,"",2019-10-28 17:04:55.183000000
54767,66,1,"",2025-08-25 15:18:51.293000000
54768,38,1,"",2025-08-14 14:11:36.620000000
54769,27,1,"",2022-01-18 13:00:18.327000000
54795,42,1,"<p>N/A</p>",2024-03-15 10:14:22.863000000
54799,59,1,"",2025-06-16 15:33:58.490000000
54812,7,1,"",2017-10-30 13:34:24.910000000
54830,9,1,"",2024-04-05 20:59:32.533000000
54831,28,1,"",2023-08-24 15:36:23.580000000
54832,14,1,"",2024-03-28 13:08:54.867000000
54880,10,1,"",2025-06-05 17:08:18.780000000
54901,27,1,"",2024-03-15 17:01:26.080000000
54909,24,1,"",2023-09-22 19:02:46.937000000
54919,22,1,"",2025-06-23 20:12:18.447000000
54923,41,1,"<p>Those not listed.</p>",2025-04-24 15:45:56.040000000
54926,25,1,"<p>All those not listed under the &ldquo;ICD-10-CM Codes that Support Medical Necessity&rdquo; section of this article.</p>",2025-05-09 14:50:07.657000000
54929,39,1,"",2025-09-18 16:52:51.317000000
54931,34,1,"",2025-09-18 16:50:55.600000000
54953,65,1,"<p>N/A</p>",2025-01-22 17:25:32.863000000
54954,28,1,"<p>All those not listed under the ""ICD-10 Codes that Support Medical Necessity "" section of this article.</p>",2023-01-20 14:21:01.943000000
54958,26,1,"<p>N/A</p>",2025-08-21 19:30:06.987000000
54961,20,1,"",2025-03-18 17:18:10.960000000
54969,51,1,"<p><span style=""color: #000000; text-transform: none; text-indent: 0px; letter-spacing: normal; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 14px; font-style: normal; font-weight: 400; word-spacing: 0px; float: none; display: inline !important; white-space: normal; orphans: 2; widows: 2; background-color: #ffffff; -webkit-text-stroke-width: 0px; font-variant-ligatures: normal; font-variant-caps: normal; text-decoration-style: initial; text-decoration-color: initial;"">All diagnoses not listed in the ""ICD-10 Codes that Support Medical Necessity.""</span></p>",2025-09-22 11:54:20.780000000
54975,16,1,"<p>N/A</p>",2023-11-22 15:12:08.720000000
54976,15,1,"<p>N/A</p>",2023-11-22 15:12:32.287000000
54982,28,1,"<p>All those not listed under the &ldquo;ICD-10-CM Codes that Support Medical Necessity&rdquo; section of this article.</p>",2025-05-09 14:48:53.230000000
54992,42,1,"<p><span style=""color: #000000; text-transform: none; text-indent: 0px; letter-spacing: normal; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 14px; font-style: normal; font-weight: 400; word-spacing: 0px; float: none; display: inline !important; white-space: normal; orphans: 2; widows: 2; background-color: #ffffff; -webkit-text-stroke-width: 0px; font-variant-ligatures: normal; font-variant-caps: normal; text-decoration-style: initial; text-decoration-color: initial;"">All diagnoses not listed in the ""ICD-10 Codes that Support Medical Necessity.""</span></p>",2025-09-22 11:55:35.607000000
55001,65,1,"",2024-09-26 16:42:43.110000000
55028,44,1,"<p>N/A</p>",2025-10-08 13:33:18.230000000
55029,35,1,"<p>N/A</p>",2025-09-22 16:31:29.613000000
55044,18,1,"",2023-11-22 19:02:01.367000000
55056,13,1,"",2023-11-17 12:43:34.080000000
55057,11,1,"",2023-11-17 12:44:56.780000000
55058,7,1,"",2023-11-16 19:29:34.070000000
55061,11,1,"",2023-11-08 19:07:21.953000000
55069,26,1,"",2025-08-14 17:49:02.430000000
55115,14,1,"<p>N/A</p>",2023-11-22 15:20:48.827000000
55116,14,1,"<p>N/A</p>",2023-11-22 15:21:21.860000000
55134,36,1,"<p>N/A</p>",2023-02-10 18:05:23.317000000
55136,19,1,"<p>N/A</p>",2024-01-24 13:36:42.900000000
55146,13,1,"<p>NA</p>",2023-11-20 15:11:16.667000000
55147,30,1,"<p>N/A</p>",2024-09-17 12:22:14.090000000
55161,23,1,"",2023-08-23 17:01:05.497000000
55162,18,1,"",2024-07-24 17:41:33.400000000
55169,13,1,"<p>NA</p>",2023-10-18 12:30:06.640000000
55175,23,1,"",2023-11-20 15:30:12.430000000
55193,14,1,"<p>N/A</p>",2024-06-18 13:35:43.013000000
55197,33,1,"<p>NA</p>",2024-03-20 14:46:01.210000000
55200,35,1,"<p>N/A</p>",2023-12-20 17:43:28.243000000
55206,18,1,"<p>N/A</p>",2023-11-20 17:27:56.730000000
55210,13,1,"<p>NA</p>",2024-01-23 20:17:17.097000000
55215,9,1,"",2023-11-16 19:23:06.710000000
55224,35,1,"<p>N/A</p>",2025-09-18 16:49:45.203000000
55227,19,1,"",2025-08-14 17:32:58.570000000
55229,40,1,"<p>All those not listed under the &ldquo;ICD-10 Codes that Support Medical Necessity&rdquo; section of this article.</p>",2025-01-24 17:22:42.730000000
55230,16,1,"<p>N/A</p>",2023-10-18 12:47:35.810000000
55231,15,1,"",2024-01-23 20:24:09.550000000
55233,21,1,"",2024-09-17 14:09:15.760000000
55235,15,1,"<p>N/A</p>",2023-07-19 14:22:47.767000000
55239,58,1,"<p>N/A</p>",2025-09-24 14:29:36.873000000
55240,25,1,"",2023-01-20 14:25:14.490000000
55264,13,1,"<p>N/A</p>",2023-11-22 16:47:04.117000000
55265,12,1,"<p>N/A</p>",2023-11-22 16:47:25.303000000
55294,33,1,"<p>N/A</p>",2025-08-29 14:09:45.277000000
55295,29,1,"<p>N/A</p>",2025-08-29 14:08:57.413000000
55310,12,1,"",2025-08-28 12:06:50.777000000
55315,17,1,"",2025-09-26 22:10:37.763000000
55323,51,1,"<p>N/A</p>",2025-09-24 14:30:26.050000000
55326,39,1,"",2023-11-16 19:26:40.460000000
55327,35,1,"",2025-10-06 12:09:45.760000000
55336,49,1,"",2025-08-21 12:24:21.747000000
55354,35,1,"<p><span style=""line-height: 115%;"">All those not listed under the <strong><em>ICD-10-CM Codes that Support Medical Necessity </em></strong>section of this article. </span></p>",2023-06-05 13:31:53.540000000
55426,123,1,"",2025-05-22 20:47:43.093000000
55478,12,1,"",2023-11-08 19:17:03.293000000
55503,5,1,"",2023-11-22 16:23:07.633000000
55505,5,1,"",2023-11-22 16:22:29.043000000
55530,34,1,"",2025-06-20 20:58:13.197000000
55531,33,1,"",2025-06-20 20:58:34.507000000
55584,19,1,"",2023-11-08 19:11:50.350000000
55595,16,1,"<p>N/A</p>",2024-09-09 15:11:52.270000000
55596,12,1,"<p>N/A</p>",2023-11-22 18:55:46.790000000
55597,23,1,"<p>N/A</p>",2023-11-22 18:26:57.367000000
55600,16,1,"<p>N/A</p>",2024-09-09 15:12:58.530000000
55601,12,1,"<p>N/A</p>",2023-11-22 18:56:05.350000000
55602,23,1,"<p>N/A</p>",2023-11-22 18:27:18.457000000
55621,15,1,"<p>NA</p>",2024-04-16 14:17:44.720000000
55623,15,1,"<p>N/A</p>",2023-11-22 18:53:25.250000000
55624,33,1,"<p>N/A</p>",2024-03-15 16:08:50.813000000
55628,13,1,"<p>N/A</p>",2023-11-22 18:53:57.553000000
55639,49,1,"<p>N/A</p>",2025-09-16 19:26:32.427000000
55672,25,1,"<p>All those not listed under the &ldquo;ICD-10 Codes that are Covered&rdquo; section of this article.</p>",2023-11-20 14:31:32.253000000
55675,25,1,"<p>All those not listed under the ""ICD-10 Codes that are Covered"" section of this article.</p>",2023-11-16 19:14:19.857000000
55676,23,1,"<p>All those not listed under the ""ICD-10 Codes that are Covered"" section of this article.</p>",2023-11-16 19:38:32.767000000
55695,21,1,"",2023-05-23 12:49:05.617000000
55703,25,1,"<p>All those not listed under the &ldquo;ICD-10 Codes that Are Covered&rdquo; section of this policy.</p>",2024-06-18 14:15:31.133000000
55709,11,1,"",2024-04-16 15:08:02.707000000
55710,9,1,"",2023-11-14 16:42:17.043000000
55711,23,1,"<p>N/A</p>",2025-09-18 19:52:22.370000000
55712,21,1,"<p>N/A</p>",2025-09-18 19:56:50.107000000
55715,12,1,"",2025-01-31 19:32:23.030000000
55716,11,1,"",2023-11-08 15:14:20.597000000
55717,26,1,"",2025-08-18 16:43:49.853000000
55719,15,1,"",2023-11-16 19:28:20.053000000
55723,44,1,"<p>All those not listed under the ""ICD-10 Codes that are Covered"" section of this article.</p>",2023-01-20 12:02:28.327000000
55738,17,1,"<p>NA</p>",2023-06-22 12:58:52.280000000
55754,22,1,"",2023-11-14 16:22:56.433000000
55757,5,1,"",2017-10-13 17:25:42.050000000
55769,14,1,"",2023-11-22 16:09:29.327000000
55770,10,1,"",2023-11-22 16:06:55.337000000
55774,13,1,"",2025-06-20 18:55:24.610000000
55818,23,1,"",2025-01-24 16:25:19.787000000
55835,15,1,"",2025-02-21 19:20:58.067000000
55909,44,1,"<p>N/A</p>",2025-09-18 20:00:11.690000000
55913,9,1,"",2024-12-17 15:26:40.677000000
55937,42,1,"<p>All those not listed under the &ldquo;ICD-10 Codes that Support Medical Necessity&rdquo; section of this article.</p>",2025-09-26 14:12:03.677000000
55951,17,1,"<p>N/A</p>",2025-08-22 17:41:11.233000000
55958,6,1,"",2024-02-28 15:20:28.150000000
56006,19,1,"",2023-12-21 20:09:49.673000000
56008,11,1,"",2024-11-13 18:17:30.627000000
56025,16,1,"",2023-11-08 18:56:50.887000000
56027,10,1,"",2023-11-14 16:32:00.170000000
56034,39,1,"<p>All the ICD-10-CM codes listed below <strong>DO NOT</strong> support medical necessity and will deny when billing 64450 <strong>WITH</strong> 76881, 76882, 76942, 76999, 97032, 97139, G0282 and/or G0283 (above Group 2 CPT codes) for peripheral nerve blocks (including G57.91, G57.92, G58.7, G58.8, G58.9 G59, M54.10 and M79.2). Refer to the Coverage and Limitations section above.</p>
<p>All other ICD-10-CM codes not listed in this policy under ""ICD-10 Codes that Support Medical Necessity"" above.</p>",2025-09-25 15:58:52.893000000
56050,14,1,"",2025-01-31 17:18:53.777000000
56065,23,1,"",2022-11-15 01:52:20.060000000
56071,23,1,"<p>N/A</p>",2024-12-23 12:02:30.870000000
56072,13,1,"",2024-01-23 18:41:24.407000000
56073,21,1,"<p>N/A</p>",2024-12-23 12:03:03.813000000
56083,13,1,"",2025-07-29 21:06:32.250000000
56103,13,1,"<p>N/A</p>",2024-01-23 13:23:59.687000000
